,GEO_ID,NAME,tot_poverty,pov_150
493,0500000US13215,"Muscogee County, Georgia",39001,57705
494,0500000US13217,"Newton County, Georgia",16559,26398
495,0500000US13219,"Oconee County, Georgia",2336,4119
496,0500000US13221,"Oglethorpe County, Georgia",1894,3828
497,0500000US13223,"Paulding County, Georgia",12969,25411
498,0500000US13225,"Peach County, Georgia",5627,7991
499,0500000US13227,"Pickens County, Georgia",3175,5784
500,0500000US13229,"Pierce County, Georgia",4219,6486
501,0500000US13231,"Pike County, Georgia",1714,2593
502,0500000US13233,"Polk County, Georgia",7634,13005
503,0500000US13235,"Pulaski County, Georgia",2134,2899
504,0500000US13237,"Putnam County, Georgia",3449,5973
505,0500000US13239,"Quitman County, Georgia",465,767
506,0500000US13241,"Rabun County, Georgia",2939,5307
507,0500000US13243,"Randolph County, Georgia",2225,3374
508,0500000US13245,"Richmond County, Georgia",44200,67099
509,0500000US13247,"Rockdale County, Georgia",11665,21689
510,0500000US13249,"Schley County, Georgia",897,1452
511,0500000US13251,"Screven County, Georgia",3042,4534
512,0500000US13253,"Seminole County, Georgia",1949,2752
513,0500000US13255,"Spalding County, Georgia",11476,19918
